start,end,id,length,diameter,disuse,q_max,flowdir,has_booster,booster_hmax
1,2,1,4301.753131,600,0,1017.36,0,0,0
1,8,2,4587.222303,500,0,706.5,0,0,0
2,3,3,1983.865677,400,0,452.16,0,0,0
2,4,4,2287.17681,500,0,706.5,0,0,0
2,5,5,3204.416861,600,0,1017.36,0,0,0
2,5,6,3204.416861,600,0,1017.36,0,0,0
2,6,7,4799.240184,300,0,254.34,0,0,0
5,7,8,3495.948907,500,0,706.5,0,0,0
5,10,9,5447.153934,600,0,1017.36,0,0,0
5,12,10,5428.410222,500,0,706.5,0,0,0
5,12,11,5428.410222,600,0,1017.36,0,0,0
5,13,12,3051.037617,300,0,254.34,0,0,0
6,13,13,2057.35401,300,0,254.34,0,0,0
6,14,14,4758.552222,300,0,254.34,0,0,0
7,8,15,2965.207202,400,0,452.16,0,0,0
7,10,16,2225.911697,500,0,706.5,0,0,0
9,10,17,2243.585557,500,0,706.5,0,0,0
9,46,18,2285.869613,300,0,254.34,0,0,0
10,11,19,5881.235519,600,0,1017.36,0,0,0
11,31,20,15545.55634,600,0,1017.36,0,0,0
12,17,21,8495.811744,600,0,1017.36,0,0,0
12,17,22,8495.811744,600,0,1017.36,0,0,0
13,14,23,4383.356402,300,0,254.34,0,0,0
14,15,24,5590.726323,200,0,113.04,0,0,0
14,17,25,7805.829284,300,0,254.34,0,0,0
14,18,26,9906.847535,200,0,113.04,0,0,0
15,16,27,3531.668759,200,0,113.04,0,0,0
16,17,28,4325.061725,200,0,113.04,0,0,0
16,21,29,5639.532931,300,0,254.34,0,0,0
17,19,30,5041.255452,300,0,254.34,0,0,0
17,20,31,7523.851816,600,0,1017.36,0,0,0
17,21,32,3437.192781,300,0,254.34,0,0,0
18,19,33,2709.184372,300,0,254.34,0,0,0
19,20,34,2695.000812,300,0,254.34,0,0,0
19,21,35,4409.715416,200,0,113.04,0,0,0
19,21,36,4409.715416,200,0,113.04,0,0,0
20,23,37,5653.144428,600,0,1017.36,0,0,0
22,27,38,5730.334686,200,0,113.04,0,0,0
23,28,39,9144.563954,500,0,706.5,0,0,0
23,28,40,9144.563954,500,0,706.5,0,0,0
23,31,41,9569.791315,700,0,1384.74,0,0,0
23,31,42,9569.791315,500,0,706.5,0,0,0
24,25,43,4921.709091,300,0,254.34,0,0,0
25,26,44,2232.475602,300,0,254.34,0,0,0
25,35,45,5515.241243,200,0,113.04,0,0,0
26,27,46,7125.273183,400,0,452.16,0,0,0
26,32,47,3936.39315,400,0,452.16,0,0,0
26,42,48,6705.614663,250,0,176.625,0,0,0
27,28,49,6103.74615,400,0,452.16,0,0,0
28,29,50,2493.357292,400,0,452.16,0,0,0
28,29,51,2493.357292,400,0,452.16,0,0,0
28,45,52,6588.230546,300,0,254.34,0,0,0
29,30,53,2179.097214,400,0,452.16,0,0,0
29,42,54,6103.281529,400,0,452.16,0,0,0
30,43,55,5944.451955,400,0,452.16,0,0,0
31,34,56,2091.546966,700,0,1384.74,0,0,0
31,34,57,2091.546966,500,0,706.5,0,0,0
32,33,58,3179.374052,400,0,452.16,0,0,0
32,34,59,2340.986152,400,0,452.16,0,0,0
33,34,60,2609.761167,400,0,452.16,0,0,0
34,35,61,1629.068388,500,0,706.5,0,0,0
34,37,62,2420.505191,400,0,452.16,0,0,0
35,36,63,3230.582992,500,0,706.5,0,0,0
35,37,64,2573.645837,500,0,706.5,0,0,0
36,38,65,2719.391218,200,0,113.04,0,0,0
37,38,66,2106.361831,400,0,452.16,0,0,0
37,39,67,3223.151807,300,0,254.34,0,0,0
39,40,68,10357.78384,250,0,176.625,0,0,0
40,41,69,5324.441993,200,0,113.04,0,0,0
40,42,70,8598.353221,200,0,113.04,0,0,0
41,42,71,7358.130583,300,0,254.34,0,0,0
41,43,72,4308.224617,300,0,254.34,0,0,0
43,44,73,5787.437038,200,0,113.04,0,0,0
47,48,74,8787.827127,500,0,706.5,0,0,0
47,48,75,8787.827127,250,0,176.625,0,0,0
48,49,76,10300.90404,300,0,254.34,0,0,0
48,50,77,6688.358135,250,0,176.625,0,0,0
48,52,78,14579.59167,400,0,452.16,0,0,0
48,54,79,7003.820563,600,0,1017.36,0,0,0
49,51,80,9797.812826,300,0,254.34,0,0,0
49,52,81,13722.53296,200,0,113.04,0,0,0
51,52,82,6976.757907,500,0,706.5,0,0,0
51,68,83,15118.25068,200,0,113.04,0,0,0
52,53,84,4221.127529,500,0,706.5,0,0,0
52,55,85,6092.173471,500,0,706.5,0,0,0
52,72,86,15194.92381,600,0,1017.36,0,0,0
53,55,87,5963.324713,600,0,1017.36,0,0,0
53,72,88,11375.94016,500,0,706.5,0,0,0
54,55,89,12828.20999,400,0,452.16,0,0,0
54,57,90,9098.059855,300,0,254.34,0,0,0
54,64,91,24688.05939,600,0,1017.36,0,0,0
55,59,92,7174.162769,400,0,452.16,0,0,0
55,59,93,7174.162769,400,0,452.16,0,0,0
56,57,94,4389.982005,200,0,113.04,0,0,0
56,57,95,4389.982005,400,0,452.16,0,0,0
57,60,96,7858.970634,400,0,452.16,0,0,0
57,61,97,12613.87322,300,0,254.34,0,0,0
58,59,98,12698.46934,300,0,254.34,0,0,0
58,61,99,5379.838603,500,0,706.5,0,0,0
59,64,100,21056.88791,600,0,1017.36,0,0,0
60,61,101,6512.945868,400,0,452.16,0,0,0
60,62,102,7745.867051,250,0,176.625,0,0,0
61,64,103,8950.433778,600,0,1017.36,0,0,0
61,64,104,8950.433778,200,0,113.04,0,0,0
62,63,105,13345.40706,400,0,452.16,0,0,0
63,64,106,14392.44326,400,0,452.16,0,0,0
63,64,107,14392.44326,200,0,113.04,0,0,0
64,65,108,9978.676286,200,0,113.04,0,0,0
64,65,109,9978.676286,400,0,452.16,0,0,0
64,66,110,7110.906393,300,0,254.34,0,0,0
64,67,111,11800.55644,300,0,254.34,0,0,0
65,80,112,6613.771018,200,0,113.04,0,0,0
65,81,113,9253.457628,500,0,706.5,0,0,0
67,82,114,14078.90818,200,0,113.04,0,0,0
68,69,115,7142.695729,300,0,254.34,0,0,0
69,70,116,8506.2844,300,0,254.34,0,0,0
69,71,117,8981.520993,400,0,452.16,0,0,0
69,72,118,11018.50497,500,0,706.5,0,0,0
71,72,119,8481.281804,400,0,452.16,0,0,0
72,73,120,12533.30559,250,0,176.625,0,0,0
72,74,121,6172.069438,400,0,452.16,0,0,0
72,76,122,4943.524654,300,0,254.34,0,0,0
72,77,123,12424.17301,500,0,706.5,0,0,0
74,75,124,5975.227181,250,0,176.625,0,0,0
76,77,125,8376.324599,250,0,176.625,0,0,0
77,78,126,6292.132886,600,0,1017.36,0,0,0
78,79,127,10349.25593,300,0,254.34,0,0,0
78,85,128,10788.30725,600,0,1017.36,0,0,0
79,83,129,6240.159258,400,0,452.16,0,0,0
80,81,130,3963.482585,500,0,706.5,0,0,0
81,82,131,6940.953936,500,0,706.5,0,0,0
82,83,132,8404.592833,500,0,706.5,0,0,0
82,84,133,4785.060462,300,0,254.34,0,0,0
83,84,134,5349.293575,300,0,254.34,0,0,0
83,85,135,8210.473221,400,0,452.16,0,0,0
85,86,136,7338.193846,600,0,1017.36,0,0,0
86,87,137,8551.257443,300,0,254.34,0,0,0
88,89,138,9066.990407,150,0,63.585,0,0,0
88,91,139,4593.012658,300,0,254.34,0,0,0
89,94,140,4209.598948,300,0,254.34,0,0,0
89,196,141,12442.70323,400,0,452.16,0,0,0
89,196,142,12442.70323,400,0,452.16,0,0,0
90,91,143,4629.034963,400,0,452.16,0,0,0
91,92,144,7933.546607,300,0,254.34,0,0,0
92,93,145,4265.123485,200,0,113.04,0,0,0
92,94,146,9242.994344,400,0,452.16,0,0,0
92,95,147,4698.404052,500,0,706.5,0,0,0
95,96,148,5661.099203,300,0,254.34,0,0,0
95,97,149,4935.023036,400,0,452.16,0,0,0
96,97,150,2382.665898,300,0,254.34,0,0,0
96,99,151,6549.009026,150,0,63.585,0,0,0
97,98,152,8841.305466,300,0,254.34,0,0,0
97,102,153,10929.09122,400,0,452.16,0,0,0
98,103,154,8557.241604,200,0,113.04,0,0,0
99,100,155,3901.536058,600,0,1017.36,0,0,0
99,101,156,4532.126094,400,0,452.16,0,0,0
100,104,157,6353.711599,400,0,452.16,0,0,0
101,102,158,3051.010517,200,0,113.04,0,0,0
101,104,159,6911.435281,500,0,706.5,0,0,0
102,107,160,13566.47546,500,0,706.5,0,0,0
103,106,161,8923.490028,200,0,113.04,0,0,0
104,105,162,5305.83045,300,0,254.34,0,0,0
104,110,163,7634.718534,300,0,254.34,0,0,0
105,106,164,7199.754572,250,0,176.625,0,0,0
107,108,165,3082.776629,250,0,176.625,0,0,0
108,109,166,2851.410861,400,0,452.16,0,0,0
108,128,167,11171.5493,400,0,452.16,0,0,0
110,111,168,7480.522532,300,0,254.34,0,0,0
111,112,169,8542.508322,250,0,176.625,0,0,0
112,113,170,3467.462209,500,0,706.5,0,0,0
112,114,171,5182.589489,500,0,706.5,0,0,0
112,150,172,12205.62318,500,0,706.5,0,0,0
113,115,173,7247.790441,400,0,452.16,0,0,0
115,116,174,10203.70907,300,0,254.34,0,0,0
116,149,175,5146.100411,400,0,452.16,0,0,0
116,170,176,2836.604623,500,0,706.5,0,0,0
117,118,177,8539.450819,200,0,113.04,0,0,0
117,216,178,5397.857095,200,0,113.04,0,0,0
117,109,179,7808.236178,250,0,176.625,0,0,0
118,119,180,5175.088586,300,0,254.34,0,0,0
119,120,181,5865.484071,400,0,452.16,0,0,0
120,121,182,5503.252567,400,0,452.16,0,0,0
121,122,183,9749.583204,400,0,452.16,0,0,0
121,123,184,6277.603786,300,0,254.34,0,0,0
122,125,185,3853.784019,300,0,254.34,0,0,0
123,124,186,4981.63888,300,0,254.34,0,0,0
124,126,187,9930.068939,400,0,452.16,0,0,0
124,128,188,8283.143494,400,0,452.16,0,0,0
125,126,189,5824.72048,300,0,254.34,0,0,0
125,127,190,10813.76533,250,0,176.625,0,0,0
126,127,191,12582.86178,300,0,254.34,0,0,0
126,127,192,12582.86178,300,0,254.34,0,0,0
126,129,193,7376.102383,250,0,176.625,0,0,0
127,249,194,10623.70477,300,0,254.34,0,0,0
128,132,195,10406.90499,300,0,254.34,0,0,0
128,132,196,10406.90499,250,0,176.625,0,0,0
129,130,197,7222.252916,250,0,176.625,0,0,0
129,130,198,7222.252916,250,0,176.625,0,0,0
130,131,199,14631.15749,500,0,706.5,0,0,0
131,133,200,3247.780291,500,0,706.5,0,0,0
131,134,201,13964.82307,250,0,176.625,0,0,0
131,138,202,6816.276779,250,0,176.625,0,0,0
131,139,203,6397.195002,400,0,452.16,0,0,0
132,133,204,2967.075066,400,0,452.16,0,0,0
132,142,205,13995.03282,300,0,254.34,0,0,0
133,142,206,13414.86716,500,0,706.5,0,0,0
134,135,207,8864.132967,200,0,113.04,0,0,0
134,137,208,6013.325058,500,0,706.5,0,0,0
135,136,209,6104.649566,300,0,254.34,0,0,0
135,136,210,6104.649566,400,0,452.16,0,0,0
140,141,211,5071.166982,400,0,452.16,0,0,0
140,146,212,8354.112853,300,0,254.34,0,0,0
141,142,213,5300.2457,400,0,452.16,0,0,0
141,142,214,5300.2457,400,0,452.16,0,0,0
142,143,215,3147.609617,300,0,254.34,0,0,0
142,172,216,11037.03054,600,0,1017.36,0,0,0
143,148,217,6778.748796,250,0,176.625,0,0,0
144,145,218,4100.508051,300,0,254.34,0,0,0
145,147,219,3611.345608,300,0,254.34,0,0,0
146,147,220,3618.587366,150,0,63.585,0,0,0
147,149,221,2004.75066,200,0,113.04,0,0,0
147,149,222,2004.75066,200,0,113.04,0,0,0
149,150,223,5032.743153,800,0,1808.64,0,0,0
149,172,224,3573.873098,400,0,452.16,0,0,0
149,172,225,3573.873098,400,0,452.16,0,0,0
151,155,226,7074.57143,400,0,452.16,0,0,0
152,161,227,5748.328727,250,0,176.625,0,0,0
153,160,228,4671.78764,200,0,113.04,0,0,0
154,155,229,7590.655812,300,0,254.34,0,0,0
154,160,230,4997.666811,300,0,254.34,0,0,0
154,160,231,4997.666811,300,0,254.34,0,0,0
154,179,232,46642.07285,300,0,254.34,0,0,0
155,156,233,2420.078269,400,0,452.16,0,0,0
155,158,234,3486.250809,400,0,452.16,0,0,0
156,157,235,3108.118467,300,0,254.34,0,0,0
156,159,236,3323.887768,300,0,254.34,0,0,0
157,158,237,2670.292546,400,0,452.16,0,0,0
158,166,238,10127.56581,400,0,452.16,0,0,0
159,160,239,11046.96436,400,0,452.16,0,0,0
160,161,240,7384.518685,300,0,254.34,0,0,0
160,163,241,4885.559808,400,0,452.16,0,0,0
162,163,242,8870.746394,300,0,254.34,0,0,0
163,164,243,4252.198899,400,0,452.16,0,0,0
164,165,244,11277.67929,300,0,254.34,0,0,0
165,167,245,12409.47778,300,0,254.34,0,0,0
166,168,246,9978.423252,400,0,452.16,0,0,0
167,174,247,10950.29993,400,0,452.16,0,0,0
168,169,248,6082.635108,400,0,452.16,0,0,0
168,169,249,6082.635108,400,0,452.16,0,0,0
169,170,250,3547.243776,600,0,1017.36,0,0,0
169,171,251,4975.72358,600,0,1017.36,0,0,0
169,174,252,8803.570417,700,0,1384.74,0,0,0
169,175,253,11629.63113,600,0,1017.36,0,0,0
170,172,254,5003.503623,300,0,254.34,0,0,0
171,172,255,3722.492241,500,0,706.5,0,0,0
171,173,256,4334.674638,400,0,452.16,0,0,0
172,149,257,3573.873098,300,0,254.34,0,0,0
172,149,258,3573.873098,300,0,254.34,0,0,0
173,178,259,5445.506318,400,0,452.16,0,0,0
173,179,260,4570.722632,300,0,254.34,0,0,0
174,176,261,5975.295254,500,0,706.5,0,0,0
174,176,262,5975.295254,500,0,706.5,0,0,0
175,176,263,5313.467375,700,0,1384.74,0,0,0
175,177,264,4814.720719,400,0,452.16,0,0,0
175,180,265,6417.993805,400,0,452.16,0,0,0
177,180,266,3492.120175,400,0,452.16,0,0,0
177,180,267,3492.120175,600,0,1017.36,0,0,0
180,181,268,9206.208038,200,0,113.04,0,0,0
180,182,269,8025.510003,300,0,254.34,0,0,0
183,184,270,16080.9992,300,0,254.34,0,0,0
183,189,271,8045.262821,250,0,176.625,0,0,0
184,185,272,11225.13538,300,0,254.34,0,0,0
185,186,273,6863.872429,400,0,452.16,0,0,0
186,187,274,9101.026421,300,0,254.34,0,0,0
186,188,275,8680.512508,300,0,254.34,0,0,0
187,188,276,2055.312942,400,0,452.16,0,0,0
187,193,277,11411.93222,200,0,113.04,0,0,0
187,202,278,5663.723672,250,0,176.625,0,0,0
189,190,279,7711.184265,300,0,254.34,0,0,0
189,190,280,7711.184265,300,0,254.34,0,0,0
189,193,281,18104.6449,400,0,452.16,0,0,0
189,218,282,10200.53036,400,0,452.16,0,0,0
189,218,283,10200.53036,300,0,254.34,0,0,0
190,192,284,6018.034051,300,0,254.34,0,0,0
