start,end,id,length,diameter,disuse,q_max,flowdir,has_booster,booster_hmax
190,193,285,10757.62218,300,0,254.34,0,0,0
191,192,286,8876.418883,200,0,113.04,0,0,0
191,195,287,10555.77641,300,0,254.34,0,0,0
192,193,288,5274.342299,400,0,452.16,0,0,0
193,194,289,6161.322043,250,0,176.625,0,0,0
194,200,290,12428.34333,250,0,176.625,0,0,0
195,196,291,3344.464304,250,0,176.625,0,0,0
195,197,292,11117.08325,300,0,254.34,0,0,0
195,197,293,11117.08325,200,0,113.04,0,0,0
197,198,294,2121.636156,400,0,452.16,0,0,0
197,198,295,2121.636156,400,0,452.16,0,0,0
197,200,296,4056.400431,400,0,452.16,0,0,0
197,200,297,4056.400431,300,0,254.34,0,0,0
198,199,298,3431.314872,400,0,452.16,0,0,0
198,209,299,13525.16021,250,0,176.625,0,0,0
199,200,300,4042.834311,300,0,254.34,0,0,0
200,201,301,4475.115254,300,0,254.34,0,0,0
201,202,302,13313.18865,200,0,113.04,0,0,0
201,204,303,14653.50508,250,0,176.625,0,0,0
203,204,304,8759.21508,250,0,176.625,0,0,0
203,205,305,11379.51555,200,0,113.04,0,0,0
204,205,306,5209.123202,300,0,254.34,0,0,0
204,206,307,9785.1126,300,0,254.34,0,0,0
206,207,308,7629.130565,300,0,254.34,0,0,0
206,209,309,12731.4351,200,0,113.04,0,0,0
206,219,310,11109.37586,300,0,254.34,0,0,0
207,208,311,11726.7096,300,0,254.34,0,0,0
208,238,312,21864.63705,250,0,176.625,0,0,0
209,211,313,7256.181022,250,0,176.625,0,0,0
210,211,314,8155.260551,400,0,452.16,0,0,0
210,212,315,7331.649943,250,0,176.625,0,0,0
211,220,316,10533.5277,250,0,176.625,0,0,0
211,224,317,11785.62004,150,0,63.585,0,0,0
212,213,318,9170.801976,200,0,113.04,0,0,0
212,214,319,6314.019175,300,0,254.34,0,0,0
213,214,320,6538.674541,300,0,254.34,0,0,0
213,215,321,6038.16633,200,0,113.04,0,0,0
214,215,322,6235.055875,250,0,176.625,0,0,0
214,216,323,3583.76934,400,0,452.16,0,0,0
216,217,324,2630.18926,300,0,254.34,0,0,0
219,220,325,3200.284665,200,0,113.04,0,0,0
220,221,326,2437.047899,300,0,254.34,0,0,0
220,230,327,22520.66492,400,0,452.16,0,0,0
221,222,328,5489.807675,300,0,254.34,0,0,0
221,234,329,6985.49757,200,0,113.04,0,0,0
222,223,330,3888.392769,300,0,254.34,0,0,0
223,224,331,4880.392201,400,0,452.16,0,0,0
223,225,332,8273.324048,300,0,254.34,0,0,0
223,226,333,6859.726695,300,0,254.34,0,0,0
223,227,334,10286.21219,400,0,452.16,0,0,0
226,227,335,4127.652394,250,0,176.625,0,0,0
227,228,336,3521.910001,300,0,254.34,0,0,0
227,229,337,10300.08027,400,0,452.16,0,0,0
227,229,338,10300.08027,400,0,452.16,0,0,0
228,229,339,6889.842427,300,0,254.34,0,0,0
229,230,340,3276.821413,300,0,254.34,0,0,0
229,231,341,4460.42969,300,0,254.34,0,0,0
229,232,342,4884.371564,400,0,452.16,0,0,0
230,233,343,2005.075182,400,0,452.16,0,0,0
231,233,344,5010.23386,400,0,452.16,0,0,0
231,240,345,3760.644694,400,0,452.16,0,0,0
231,248,346,5637.976963,300,0,254.34,0,0,0
232,249,347,9636.883141,400,0,452.16,0,0,0
233,235,348,5933.3959,300,0,254.34,0,0,0
233,240,349,2847.130486,500,0,706.5,0,0,0
234,235,350,9189.7774,250,0,176.625,0,0,0
234,236,351,3321.2887,400,0,452.16,0,0,0
234,237,352,8732.222244,400,0,452.16,0,0,0
234,240,353,17611.21298,400,0,452.16,0,0,0
235,237,354,4145.39679,300,0,254.34,0,0,0
237,238,355,7225.361133,250,0,176.625,0,0,0
237,239,356,7529.003694,250,0,176.625,0,0,0
238,239,357,3625.00478,300,0,254.34,0,0,0
238,242,358,4719.860457,300,0,254.34,0,0,0
239,241,359,6143.814664,250,0,176.625,0,0,0
240,241,360,7079.137372,300,0,254.34,0,0,0
240,250,361,6853.242723,400,0,452.16,0,0,0
241,246,362,5930.195872,250,0,176.625,0,0,0
242,243,363,7020.510604,400,0,452.16,0,0,0
242,243,364,7020.510604,300,0,254.34,0,0,0
243,244,365,5923.535652,300,0,254.34,0,0,0
243,244,366,5923.535652,250,0,176.625,0,0,0
243,246,367,10271.39299,400,0,452.16,0,0,0
244,245,368,5519.337894,250,0,176.625,0,0,0
245,246,369,9130.893216,300,0,254.34,0,0,0
246,247,370,2707.787935,300,0,254.34,0,0,0
246,254,371,7768.529443,300,0,254.34,0,0,0
246,255,372,8010.677054,300,0,254.34,0,0,0
247,254,373,6138.170487,300,0,254.34,0,0,0
248,250,374,4586.16821,400,0,452.16,0,0,0
249,251,375,3114.157718,300,0,254.34,0,0,0
249,252,376,2219.848584,400,0,452.16,0,0,0
250,251,377,2021.551931,450,0,572.265,0,0,0
250,251,378,2021.551931,300,0,254.34,0,0,0
250,252,379,3603.678211,400,0,452.16,0,0,0
251,252,380,1650.488279,300,0,254.34,0,0,0
251,253,381,2855.802916,300,0,254.34,0,0,0
253,254,382,4076.771381,300,0,254.34,0,0,0
256,257,383,3021.613034,400,0,452.16,0,0,0
256,258,384,7453.322571,250,0,176.625,0,0,0
256,258,385,7453.322571,250,0,176.625,0,0,0
256,289,386,4199.501206,300,0,254.34,0,0,0
258,259,387,1645.804252,300,0,254.34,0,0,0
258,298,388,9096.56772,300,0,254.34,0,0,0
258,300,389,9153.433194,400,0,452.16,0,0,0
259,260,390,3615.508221,500,0,706.5,0,0,0
259,262,391,4420.998078,500,0,706.5,0,0,0
260,261,392,3055.26382,300,0,254.34,0,0,0
260,262,393,2205.050232,600,0,1017.36,0,0,0
262,265,394,6388.513562,700,0,1384.74,0,0,0
263,265,395,3887.022642,400,0,452.16,0,0,0
264,265,396,5547.858235,600,0,1017.36,0,0,0
265,266,397,5718.183993,700,0,1384.74,0,0,0
266,267,398,3122.884283,300,0,254.34,0,0,0
266,268,399,4240.038905,700,0,1384.74,0,0,0
266,271,400,6202.768926,250,0,176.625,0,0,0
267,268,401,3354.89258,400,0,452.16,0,0,0
268,305,402,4527.646672,700,0,1384.74,0,0,0
268,306,403,2401.738083,500,0,706.5,0,0,0
269,270,404,4186.354874,350,0,346.185,0,0,0
269,274,405,2719.647328,400,0,452.16,0,0,0
270,271,406,3929.987203,400,0,452.16,0,0,0
270,271,407,3929.987203,400,0,452.16,0,0,0
271,272,408,3762.973887,300,0,254.34,0,0,0
271,273,409,2960.73041,400,0,452.16,0,0,0
274,275,410,3344.880249,400,0,452.16,0,0,0
274,276,411,3015.999147,600,0,1017.36,0,0,0
275,276,412,2307.692458,250,0,176.625,0,0,0
275,281,413,9101.918273,300,0,254.34,0,0,0
276,277,414,3734.8011,400,0,452.16,0,0,0
276,279,415,9737.813638,500,0,706.5,0,0,0
278,279,416,4299.519764,250,0,176.625,0,0,0
279,280,417,5131.735217,250,0,176.625,0,0,0
279,281,418,7815.363654,500,0,706.5,0,0,0
279,281,419,7815.363654,300,0,254.34,0,0,0
281,282,420,7066.436506,300,0,254.34,0,0,0
281,283,421,6514.491189,300,0,254.34,0,0,0
283,286,422,3640.009625,500,0,706.5,0,0,0
284,286,423,7903.845707,400,0,452.16,0,0,0
285,286,424,3341.610646,400,0,452.16,0,0,0
286,287,425,3598.506909,300,0,254.34,0,0,0
288,289,426,4386.067906,300,0,254.34,0,0,0
288,289,427,4386.067906,300,0,254.34,0,0,0
289,290,428,5782.158159,250,0,176.625,0,0,0
290,291,429,12233.56899,400,0,452.16,0,0,0
290,292,430,16011.85935,600,0,1017.36,0,0,0
291,292,431,4027.633501,500,0,706.5,0,0,0
292,293,432,8109.204796,400,0,452.16,0,0,0
292,294,433,9791.045253,300,0,254.34,0,0,0
292,295,434,3605.170653,400,0,452.16,0,0,0
295,296,435,3175.643596,300,0,254.34,0,0,0
295,297,436,3620.828618,400,0,452.16,0,0,0
296,297,437,3122.577098,400,0,452.16,0,0,0
297,298,438,3478.035052,400,0,452.16,0,0,0
297,299,439,4020.298376,500,0,706.5,0,0,0
298,299,440,4913.32534,400,0,452.16,0,0,0
298,300,441,5707.346116,300,0,254.34,0,0,0
299,300,442,2972.99195,600,0,1017.36,0,0,0
299,301,443,4174.88974,600,0,1017.36,0,0,0
299,304,444,6771.499156,600,0,1017.36,0,0,0
300,301,445,5036.270985,600,0,1017.36,0,0,0
301,302,446,4725.166799,400,0,452.16,0,0,0
301,304,447,5516.515611,600,0,1017.36,0,0,0
302,303,448,3215.489756,400,0,452.16,0,0,0
304,305,449,4711.669595,700,0,1384.74,0,0,0
304,307,450,8542.995559,300,0,254.34,0,0,0
306,309,451,4258.932977,300,0,254.34,0,0,0
308,309,452,1837.693955,300,0,254.34,0,0,0
309,310,453,4857.060902,300,0,254.34,0,0,0
310,311,454,5050.658287,300,0,254.34,0,0,0
310,312,455,5012.653843,150,0,63.585,0,0,0
311,315,456,3978.510521,150,0,63.585,0,0,0
311,315,457,3978.510521,150,0,63.585,0,0,0
312,316,458,8785.419746,150,0,63.585,0,0,0
313,314,459,1900.58925,300,0,254.34,0,0,0
313,316,460,10018.78603,150,0,63.585,0,0,0
315,317,461,3083.843347,300,0,254.34,0,0,0
316,322,462,3919.322269,300,0,254.34,0,0,0
317,318,463,2900.856638,300,0,254.34,0,0,0
317,319,464,7543.801853,300,0,254.34,0,0,0
318,319,465,5812.647417,300,0,254.34,0,0,0
319,320,466,2640.329426,200,0,113.04,0,0,0
319,321,467,2098.881993,200,0,113.04,0,0,0
321,322,468,3143.4109,300,0,254.34,0,0,0
322,323,469,4570.979179,300,0,254.34,0,0,0
324,272,470,25.45623287,10000,0,282600,0,0,0
325,99,471,1399.842602,10000,0,282600,0,0,0
326,271,472,79.03907425,10000,0,282600,0,0,0
327,206,473,118.1076205,10000,0,282600,0,0,0
328,310,474,6370.898641,10000,0,282600,0,0,0
329,89,475,987.304283,10000,0,282600,0,0,0
330,28,476,166.5854566,10000,0,282600,0,0,0
331,304,477,1482.61525,10000,0,282600,0,0,0
332,293,478,7422.544963,10000,0,282600,0,0,0
333,305,479,1110.062932,10000,0,282600,0,0,0
334,150,480,104.1497501,10000,0,282600,0,0,0
335,135,481,85.28137487,10000,0,282600,0,0,0
336,217,482,891.1909851,10000,0,282600,0,0,0
337,313,483,865.90064,10000,0,282600,0,0,0
338,151,484,3592.953718,10000,0,282600,0,0,0
339,212,485,134.4971123,10000,0,282600,0,0,0
340,137,486,183.9408313,10000,0,282600,0,0,0
341,295,487,1085.682171,10000,0,282600,0,0,0
342,310,488,1466.161872,10000,0,282600,0,0,0
343,312,489,1262.618071,10000,0,282600,0,0,0
344,167,490,199.1181879,10000,0,282600,0,0,0
345,141,491,29788.02569,10000,0,282600,0,0,0
346,105,492,140.8071844,10000,0,282600,0,0,0
347,126,493,227.2920429,10000,0,282600,0,0,0
348,140,494,176.0078452,10000,0,282600,0,0,0
349,264,495,107.3140668,10000,0,282600,0,0,0
350,198,496,669.6504296,10000,0,282600,0,0,0
351,92,497,245.7116406,10000,0,282600,0,0,0
352,224,498,250.5449887,10000,0,282600,0,0,0
353,169,499,478.9918659,10000,0,282600,0,0,0
354,17,500,97.052861,10000,0,282600,0,0,0
355,227,501,112.3629686,10000,0,282600,0,0,0
356,300,502,1244.791479,10000,0,282600,0,0,0
357,186,503,973.9263445,10000,0,282600,0,0,0
358,91,504,419.2005862,10000,0,282600,0,0,0
359,207,505,262.5901857,10000,0,282600,0,0,0
360,286,506,108.3474912,10000,0,282600,0,0,0
361,139,507,1030.363505,10000,0,282600,0,0,0
362,227,508,2253.623162,10000,0,282600,0,0,0
363,128,509,45.72545381,10000,0,282600,0,0,0
364,156,510,529.0697075,10000,0,282600,0,0,0
365,236,511,394.5744561,10000,0,282600,0,0,0
366,110,512,278.0420506,10000,0,282600,0,0,0
367,274,513,126.4501215,10000,0,282600,0,0,0
368,223,514,430.9910635,10000,0,282600,0,0,0
369,20,515,229.3776184,10000,0,282600,0,0,0
370,230,516,3371.206051,10000,0,282600,0,0,0
371,160,517,72.29580602,10000,0,282600,0,0,0
372,293,518,8140.721292,10000,0,282600,0,0,0
373,262,519,209.9585039,10000,0,282600,0,0,0
374,316,520,1538.002538,10000,0,282600,0,0,0
375,258,521,513.3825669,10000,0,282600,0,0,0
376,297,522,867.9174021,10000,0,282600,0,0,0
377,242,523,271.5032849,10000,0,282600,0,0,0
378,177,524,3547.578128,10000,0,282600,0,0,0
379,72,525,250.6059105,10000,0,282600,0,0,0
380,303,526,440.7326042,10000,0,282600,0,0,0
381,220,527,458.2960516,10000,0,282600,0,0,0
382,82,528,67.13283243,10000,0,282600,0,0,0
383,116,529,1458.357889,10000,0,282600,0,0,0
384,146,530,901.5402632,10000,0,282600,0,0,0
385,281,531,63.62009182,10000,0,282600,0,0,0
386,323,532,1257.460446,10000,0,282600,0,0,0
387,245,533,1128.619069,10000,0,282600,0,0,0
388,104,534,129.1490417,10000,0,282600,0,0,0
389,214,535,1120.203537,10000,0,282600,0,0,0
390,172,536,204.8779364,10000,0,282600,0,0,0
391,64,537,324.4103399,10000,0,282600,0,0,0
392,268,538,9.223399896,10000,0,282600,0,0,0
393,193,539,466.9069555,10000,0,282600,0,0,0
394,307,540,3820.04904,10000,0,282600,0,0,0
395,307,541,4269.531083,10000,0,282600,0,0,0
396,98,542,1832.781707,10000,0,282600,0,0,0
397,86,543,361.8579532,10000,0,282600,0,0,0
398,201,544,3406.463739,10000,0,282600,0,0,0
399,164,545,130.6694741,10000,0,282600,0,0,0
400,319,546,789.8622603,10000,0,282600,0,0,0
401,120,547,165.1182977,10000,0,282600,0,0,0
402,115,548,1909.743326,10000,0,282600,0,0,0
403,317,549,766.1263709,10000,0,282600,0,0,0
404,317,550,100878.0104,10000,0,282600,0,0,0
405,234,551,142.8332824,10000,0,282600,0,0,0
406,204,552,113.9566098,10000,0,282600,0,0,0
407,250,553,107.9641063,10000,0,282600,0,0,0
408,155,554,193.6655205,10000,0,282600,0,0,0
409,309,555,209.7543522,10000,0,282600,0,0,0
410,216,556,489.0682156,10000,0,282600,0,0,0
